,run_id,name,distance,moving_time,elapsed_time,type,subtype,start_date,start_date_local,location_country,average_heartrate,average_speed,elevation_gain
0,1481713096200,gpx from keep,3964.731171285238,00:26:28,00:26:28,Run,,2016-12-14 10:58:16,2016-12-14 18:58:16,"南海大道, 大汪山社区, 南头街道, 南山区, 深圳市, 广东省, 518000, 中国",,6''40,27.0
1,1482068301200,gpx from keep,4029.267275444627,00:28:38,00:28:38,Run,,2016-12-18 13:38:21,2016-12-18 21:38:21,"南光路, 大汪山社区, 南头街道, 南山区, 深圳市, 广东省, 518000, 中国",,7''6,21.0
2,1742633732954,gpx from keep,244.34357811855693,00:02:18,00:02:18,Run,,2025-03-22 08:55:32,2025-03-22 16:55:32,"沙河立交, 沙河西路辅路, 松坪村, 松坪山社区, 西丽街道, 南山区, 深圳市, 广东省, 518000, 中国",110.0,9''24,0.0
3,1743687430000,gpx from keep,8109.189214772313,00:30:59,00:35:04,Ride,,2025-04-03 13:37:10,2025-04-03 21:37:10,"新湖路, 宝安中心区, 海旺社区, 新安街道, 宝安区, 深圳市, 广东省, 518100, 中国",142.0,3''49,10.0
4,1743723713000,gpx from keep,66425.38026356058,03:56:58,04:07:17,Ride,,2025-04-03 23:41:53,2025-04-04 07:41:53,"麻布新村, 西乡街道, 宝安区, 深圳市, 广东省, 518100, 中国",138.0,3''34,280.0
5,1744060644263,gpx from keep,39290.906459809856,01:40:56,01:40:56,Ride,,2025-04-07 21:17:24,2025-04-08 05:17:24,"深圳湾公馆, 2008, 后海大道, 名海社区, 粤海街道, 南山区, 深圳市, 广东省, 518000, 中国",144.0,2''34,29.0
6,1744233754960,gpx from keep,39423.36158350316,01:34:07,01:34:07,Ride,,2025-04-09 21:22:34,2025-04-10 05:22:34,"深圳湾公馆, 2008, 后海大道, 名海社区, 粤海街道, 南山区, 深圳市, 广东省, 518000, 中国",145.0,2''23,36.0
7,1744319911000,gpx from keep,39253.321523245526,01:33:39,01:33:39,Ride,,2025-04-10 21:18:31,2025-04-11 05:18:31,"深圳湾公馆, 2008, 后海大道, 名海社区, 粤海街道, 南山区, 深圳市, 广东省, 518000, 中国",142.0,2''23,32.0
8,1744505702395,gpx from keep,60441.71438534076,03:24:43,03:50:26,Ride,,2025-04-13 00:55:02,2025-04-13 08:55:02,"万汇云谷, 松山湖园区, 大朗镇, 东莞市, 广东省, 中国",147.0,3''23,290.0
9,1744752139983,gpx from keep,39569.71290550561,01:31:45,01:31:45,Ride,,2025-04-15 21:22:19,2025-04-16 05:22:19,"蔚蓝社区, 粤海街道, 南山区, 深圳市, 广东省, 518000, 中国",134.0,2''19,46.0
10,1744838183135,gpx from keep,49700.37167818965,01:45:02,01:45:02,Ride,,2025-04-16 21:16:23,2025-04-17 05:16:23,"名海社区, 粤海街道, 南山区, 深圳市, 广东省, 518000, 中国",149.0,2''6,68.0
11,1745038700411,gpx from keep,326.0541920000814,00:01:46,00:01:46,Run,,2025-04-19 04:58:20,2025-04-19 12:58:20,"凯旋城, 新安西路, 海旺社区, 新安街道, 宝安区, 深圳市, 广东省, 518100, 中国",118.0,5''26,0.0
12,1745184409939,gpx from keep,48727.964804669704,01:42:06,01:42:06,Ride,,2025-04-20 21:26:49,2025-04-21 05:26:49,"深圳湾公馆, 2008, 后海大道, 名海社区, 粤海街道, 南山区, 深圳市, 广东省, 518000, 中国",148.0,2''5,61.0
13,1745270367003,gpx from keep,49313.94767947383,01:45:52,01:45:52,Ride,,2025-04-21 21:19:27,2025-04-22 05:19:27,"华明路, 蔚蓝社区, 粤海街道, 南山区, 深圳市, 广东省, 518000, 中国",146.0,2''8,57.0
14,1745702594314,gpx from keep,33954.095531395214,01:13:30,01:13:30,Ride,,2025-04-26 21:23:14,2025-04-27 05:23:14,"安乐社区, 新安街道, 宝安区, 深圳市, 广东省, 518100, 中国",142.0,2''9,69.0
15,1745789088384,gpx from keep,39305.941495818246,01:16:24,01:16:24,Ride,,2025-04-27 21:24:48,2025-04-28 05:24:48,"安乐社区, 新安街道, 宝安区, 深圳市, 广东省, 518100, 中国",142.0,1''56,48.0
16,1746052779964,gpx from keep,6551.944653127169,00:41:42,00:41:42,Run,,2025-04-30 22:39:39,2025-05-01 06:39:39,"观洲村, 朝农街道, 桃花街道, 西湖区, 南昌市, 江西省, 330063, 中国",150.0,6''21,3.0
17,1746652401945,gpx from keep,52644.11249280098,01:47:02,01:47:02,Ride,,2025-05-07 21:13:21,2025-05-08 05:13:21,"安乐社区, 新安街道, 宝安区, 深圳市, 广东省, 518100, 中国",149.0,2''1,80.0
18,1746828791341,gpx from keep,88589.99070294168,04:14:18,04:14:18,Ride,,2025-05-09 22:13:11,2025-05-10 06:13:11,"安乐社区, 新安街道, 宝安区, 深圳市, 广东省, 518100, 中国",139.0,2''52,204.0
19,1746998457325,gpx from keep,39632.41126152727,01:20:06,01:20:06,Ride,,2025-05-11 21:20:57,2025-05-12 05:20:57,"安乐社区, 新安街道, 宝安区, 深圳市, 广东省, 518100, 中国",136.0,2''1,46.0
20,1747087841983,gpx from keep,9815.958013616679,01:03:09,01:03:09,Run,,2025-05-12 22:10:41,2025-05-13 06:10:41,"宝华路, 宝安中心区, 海旺社区, 新安街道, 宝安区, 深圳市, 广东省, 518100, 中国",157.0,6''26,1.0
